entity_id,friendly_name,domain,area_id,area_name,state,suggested_usage,reason
sensor.dehu_control_state,Dehu control state,sensor,,,Day: should be OFF (RH 53% < 60),remove,"Sensor data - likely diagnostic, review if needed"
sensor.dining_room_dimmer_node_status,Dining room dimmer Node status,sensor,dining,Dining,alive,remove,Diagnostic/internal - not useful for dashboard
sensor.drain,Drain,sensor,,,0,remove,"Sensor data - likely diagnostic, review if needed"
sensor.drain_total,Drain Total,sensor,,,0,remove,"Sensor data - likely diagnostic, review if needed"
sensor.entry_all_active_count,Entry All Active Count,sensor,entry,Entry,0,remove,"Sensor data - likely diagnostic, review if needed"
sensor.entry_all_count,Entry All count,sensor,entry,Entry,0,remove,"Sensor data - likely diagnostic, review if needed"
sensor.entry_dimmer_node_status_2,Entry Dimmer Node status,sensor,entry,Entry,alive,remove,Diagnostic/internal - not useful for dashboard
sensor.entry_person_active_count,Entry Person Active Count,sensor,entry,Entry,0,remove,"Sensor data - likely diagnostic, review if needed"
sensor.entry_person_count,Entry Person count,sensor,entry,Entry,0,remove,"Sensor data - likely diagnostic, review if needed"
sensor.entry_dimmer_node_status,Entry dimmer Node status,sensor,entry,Entry,dead,remove,Diagnostic/internal - not useful for dashboard
sensor.entry_sound_level,Entry sound level,sensor,entry,Entry,-39,remove,"Sensor data - likely diagnostic, review if needed"
sensor.flash_closet_lights_node_status,Flash closet lights Node status,sensor,bedroom,Bedroom,alive,remove,Diagnostic/internal - not useful for dashboard
